Pond,doc,abw,feed_given,do,temperature,energy_cost,labor_cost,harvest_cost,bonus_cost,Mortalitas (kg),Mortalitas (pcs),sr,seed_cost,initial_stocking,probiotic_cost,feeding_cost,date,other_cost,nh4,nh3,tan,ph,alkalinity,salinity,orp,ca,mg,hardness,po4,no2,no3,plankton,ga, bga ,diatom,euglena,dino,protozoa,zoo,vibrio_yellow,vibrio_green,vibrio_black,total_vibrio,total_bakteri,percent_vibrio,wheater,tss,turbidity,conductivity,luminescence,settleable_solids,fr,protein_content,feed_given.1,population,biomass_kg,harvest_biomass_kg,harvest_population,total_biomass,realized_revenue,potential_revenue,cost_harvest,cost_energy,cost_probiotics,cost_other,cost_labor,cost_bonuss,cost_feed,cost_seed,total_cost,adj_fr,feed_ration_1,feed_ration_2,feed_ration_3,feed_ration_4,fcr,cost_per_kg,initial_fr,realized_fcr,carriying_capacity,cum_feed,cum_total_cost,yield,profit,wqi
A,65,11.67,238,8.7,27.6,12.0,142029.1667,,,,,0.77,,,685430.55,3808000,03/20/2025,,0.1,0.01,0.11,7.9,222.0,30,,341.0,1276.0,1617.0,,0.25,,91100,,,,,,,,,,,,,,,,30,,,,0.36,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,66,12.12,216,10.15,28.3,12.0,142029.1667,,,,,0.77,,,62619.356,3456000,03/21/2025,,0.1,0.01,0.11,7.9,208.0,29,,,,,,0.25,,84400,0.55,0.0,0.42,0.0,0.02,0.01,0.0,330.0,20.0,0.0,350.0,13.7,0.03,,,25,,,,0.35,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,67,12.57,251,8.82,28.2,12.0,142029.1667,,,,,0.77,,,121764.6,4016000,03/22/2025,,0.1,0.01,0.11,7.9,218.0,30,,,,,1.8,0.3,9.0,97800,,,,,,,,,,,,,,,,25,,,,0.34,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,68,13.02,218,9.23,28.9,12.0,142029.1667,,,,,0.77,,,194122.461,3488000,03/23/2025,,0.2,0.02,0.22,7.9,222.0,30,,361.0,1226.0,1587.0,,0.35,,44500,,,,,,,,,,,,,,,,25,,,,0.33,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,69,13.47,259,,28.3,12.0,142029.1667,,,,,0.77,,,473636.667,4144000,03/24/2025,,0.8,0.05,0.85,7.9,226.0,30,,,,,,0.6,,71000,0.6,0.0,0.31,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,,,25,,,,0.32,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,70,13.91,226,,27.4,12.0,142029.1667,,,,,0.77,,,37254.056,3616000,03/25/2025,,0.8,0.05,0.85,7.9,232.0,30,,,,,1.5,0.75,11.0,133000,,,,,,,,,,,,,,,,25,,,,0.31,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,71,14.38,230,6.7,27.8,12.0,142029.1667,,,,,0.76,,,240797.0625,3680000,03/26/2025,,0.4,0.03,0.43,7.9,200.0,30,,401.0,1201.0,1602.0,,1.0,,107000,,,,,,,,,,,,,,,,25,,,,0.3,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,72,14.85,259,5.77,28.2,12.0,142029.1667,,,,,0.76,,,248409.8174,4144000,03/27/2025,,0.1,0.01,0.11,8.0,228.0,28,,342.0,1277.0,1619.0,,1.2,,197000,0.6,0.0,0.37,0.0,0.02,0.0,1.0,2.74,210.0,0.0,2.95,32.6,0.09,,,25,,,,0.29,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,73,15.32,264,6.57,27.3,12.0,142029.1667,,,,,0.76,,,256022.5722,4224000,03/28/2025,,0.2,0.01,0.21,7.9,220.0,27,,,,,2.2,1.6,12.0,124000,,,,,,,,,,,,,,,,25,,,,0.28,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,74,15.79,167,8.38,27.7,12.0,142029.1667,,,,,0.76,,,263635.327,2672000,03/29/2025,,0.1,0.01,0.11,7.9,232.0,27,,,,,,2.2,,128000,,,,,,,,,,,,,,,,20,,,,0.27,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,75,16.26,225,8.44,28.3,12.0,142029.1667,,,,,0.76,,,271248.0819,3600000,03/30/2025,,0.1,0.01,0.11,7.9,250.0,28,,362.0,1227.0,1589.0,,2.6,,140000,0.65,0.15,0.08,0.0,0.09,0.03,0.0,2.86,0.0,0.0,2.86,23.3,0.12,,,25,,,,0.26,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,76,16.58,228,7.38,28.4,12.0,142029.1667,,,,,0.76,,,278860.8367,3648000,03/31/2025,,0.1,0.01,0.11,7.7,256.0,25,,,,,1.6,2.7,11.0,136000,,,,,,,,,,,,,,,,20,,,,0.25,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,77,16.9,289,5.58,28.4,12.0,142029.1667,,,,,0.76,,,286473.5915,4624000,04/01/2025,,2.8,0.16,2.96,7.9,,27,,,,,,3.0,,21000,,,,,,,,,,,,,,,,20,,,,0.24,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,78,17.22,293,6.34,29.2,12.0,142029.1667,,,,,0.76,,,294086.3464,4688000,04/02/2025,,4.0,0.31,4.31,8.0,,25,,402.0,1202.0,1604.0,,3.5,,65500,0.67,0.1,0.09,0.0,0.11,0.02,0.0,670.0,70.0,0.0,740.0,14.1,0.05,,,15,,,,0.23,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,79,17.54,296,6.19,29.0,12.0,142029.1667,,,,,0.76,,,301699.1012,4736000,04/03/2025,,4.5,0.34,4.84,8.0,,26,,343.0,1278.0,1621.0,2.8,4.0,12.0,54400,,,,,,,,,,,,,,,,20,,,,0.22,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
